pay_dt_quarter,consume_large_area_name,good_mid_class_merged,order_fst,order_re,order_wake,members,amt,qty,orders,tag_price_avg,tag_price_std,tag_price_min,tag_price_p10,tag_price_p25,tag_price_p50,tag_price_p75,tag_price_p90,tag_price_max,barg_price_avg,barg_price_std
2022Q1,可隆-华东,连衣裙,27,74,23,114,181399.18,195,124,1676.79,373.15,967.8,1210.35,1434.24,1676.79,1919.34,2143.23,2460.41,992.36,189.31
2022Q1,可隆-华东,短裤,166,176,52,414,246718.45,429,394,824.01,131.15,574.83,660.08,738.77,824.01,909.26,987.94,1099.42,562.19,157.33
2022Q1,可隆-华北,防水夹克,362,425,139,783,3273908.2,1533,926,2997.05,526.51,1996.68,2338.91,2654.82,2997.05,3339.29,3655.2,4102.73,2114.81,561.91
2022Q1,可隆-华北,卫衣,317,465,102,698,573251.39,1018,884,1059.98,159.32,757.28,860.83,956.42,1059.98,1163.54,1259.13,1394.55,637.5,158.2
2022Q1,可隆-华北,长袖T恤,340,379,141,644,929500.24,1321,860,1009.64,169.56,687.48,797.69,899.43,1009.64,1119.85,1221.59,1365.71,734.38,174.44
2022Q1,可隆-华北,三合一夹克,165,233,72,338,1697954.48,599,470,4348.49,1300.83,1876.9,2722.45,3502.95,4348.49,5194.03,5974.53,7080.24,2768.93,646.63
2022Q1,可隆-华北,POLO,238,408,71,717,742277.91,1018,717,1017.74,169.07,696.51,806.4,907.84,1017.74,1127.64,1229.08,1372.79,717.36,194.67
2022Q1,可隆-华北,短袖T恤,204,448,127,706,783800.65,1381,779,786.22,177.18,449.59,564.75,671.06,786.22,901.39,1007.69,1158.29,557.83,77.58
2022Q1,可隆-华北,长裤,289,327,120,713,1144475.22,1190,736,1346.86,241.32,888.35,1045.21,1190.0,1346.86,1503.72,1648.51,1853.63,1003.56,214.89
2022Q1,可隆-华北,衬衫,146,233,46,299,554266.5,753,425,1004.75,257.85,514.84,682.44,837.15,1004.75,1172.36,1327.07,1546.24,751.37,168.6
2022Q1,可隆-华北,针织夹克,145,200,67,416,903927.49,639,412,1789.0,535.9,770.79,1119.12,1440.66,1789.0,2137.33,2458.87,2914.38,1320.0,352.93
2022Q1,可隆-华北,羽绒服,241,358,58,543,2840285.58,906,657,3815.65,726.92,2434.5,2907.0,3343.15,3815.65,4288.15,4724.3,5342.18,3078.55,534.01
2022Q1,可隆-华北,鞋,250,273,26,498,1042333.84,632,549,1903.98,472.47,1006.28,1313.38,1596.87,1903.98,2211.09,2494.57,2896.17,1578.61,219.66
2022Q1,可隆-华北,马夹,43,57,28,106,213541.28,184,128,1979.53,505.49,1019.09,1347.66,1650.96,1979.53,2308.1,2611.39,3041.06,1178.06,143.39
2022Q1,可隆-华北,软壳夹克,339,370,122,789,2629808.92,1437,831,2981.17,948.78,1178.49,1795.19,2364.46,2981.17,3597.88,4167.15,4973.61,1915.07,273.19
2022Q1,可隆-华北,配件,234,323,121,580,342673.14,1086,678,479.15,145.31,203.05,297.5,384.69,479.15,573.6,660.79,784.31,331.12,42.1
2022Q1,可隆-华北,抓绒夹克,130,141,30,230,285307.32,322,301,1579.66,402.44,815.01,1076.6,1318.07,1579.66,1841.24,2082.71,2424.78,924.23,206.9
2022Q1,可隆-华北,防风夹克,203,279,71,548,1834962.0,935,553,2543.14,707.89,1198.15,1658.27,2083.01,2543.14,3003.26,3428.0,4029.7,1909.39,489.42
2022Q1,可隆-华北,其他,48,75,12,134,35280.37,176,135,276.0,69.98,143.04,188.53,230.52,276.0,321.49,363.48,422.96,197.16,29.26
2022Q1,可隆-华北,棉服,213,216,55,457,1425821.9,803,484,2949.06,560.45,1884.2,2248.5,2584.77,2949.06,3313.35,3649.63,4126.01,1781.67,414.21
2022Q1,可隆-华北,连衣裙,39,83,25,111,169281.04,220,147,1549.07,434.92,722.72,1005.42,1266.37,1549.07,1831.76,2092.71,2462.39,816.68,211.26
2022Q1,可隆-华北,短裤,217,156,29,389,379722.14,642,402,938.9,255.45,453.54,619.59,772.86,938.9,1104.94,1258.22,1475.35,584.19,140.2
2022Q1,可隆-华南,防水夹克,215,594,60,797,2905842.19,1256,869,3434.03,735.17,2037.21,2515.07,2956.17,3434.03,3911.89,4352.99,4977.89,2538.89,627.08
2022Q1,可隆-华南,卫衣,311,543,89,769,1204745.2,1606,943,1248.39,199.33,869.66,999.23,1118.83,1248.39,1377.96,1497.56,1666.99,730.5,166.59
2022Q1,可隆-华南,长袖T恤,182,218,39,452,491634.48,743,439,919.57,270.78,405.09,581.1,743.57,919.57,1095.58,1258.05,1488.21,616.92,74.48
2022Q1,可隆-华南,三合一夹克,151,243,64,426,1774175.22,672,458,4715.08,955.49,2899.65,3520.72,4094.01,4715.08,5336.15,5909.44,6721.61,3002.34,770.21
2022Q1,可隆-华南,POLO,130,385,62,520,604734.19,872,577,881.8,237.36,430.82,585.1,727.52,881.8,1036.08,1178.5,1380.25,675.78,168.4
2022Q1,可隆-华南,短袖T恤,473,600,128,1063,926595.38,2009,1201,641.62,147.22,361.91,457.6,545.93,641.62,737.31,825.64,950.78,470.41,66.56
2022Q1,可隆-华南,长裤,321,621,158,921,1669063.81,1514,1100,1371.55,428.83,556.78,835.52,1092.82,1371.55,1650.29,1907.59,2272.09,1120.56,269.29
2022Q1,可隆-华南,衬衫,98,148,32,305,231385.95,341,278,1147.72,282.72,610.55,794.32,963.95,1147.72,1331.5,1501.13,1741.44,778.37,174.78
2022Q1,可隆-华南,针织夹克,98,203,54,296,805799.5,719,355,1504.83,329.42,878.93,1093.06,1290.71,1504.83,1718.96,1916.61,2196.62,1130.16,221.74
2022Q1,可隆-华南,羽绒服,246,407,75,672,3398962.5,1244,728,4085.47,949.02,2282.33,2899.2,3468.61,4085.47,4702.34,5271.75,6078.42,2791.57,528.38
2022Q1,可隆-华南,鞋,129,460,56,620,900520.72,700,645,2009.2,394.33,1259.97,1516.29,1752.88,2009.2,2265.51,2502.11,2837.29,1299.53,166.54
2022Q1,可隆-华南,马夹,86,106,37,226,452839.52,313,229,1995.51,279.97,1463.57,1645.55,1813.53,1995.51,2177.49,2345.47,2583.45,1401.4,193.3
2022Q1,可隆-华南,软壳夹克,185,248,54,497,1092878.57,603,487,2760.47,515.83,1780.39,2115.68,2425.18,2760.47,3095.75,3405.25,3843.7,1910.03,327.76
2022Q1,可隆-华南,配件,74,188,24,211,122334.73,459,286,449.0,120.37,220.3,298.54,370.76,449.0,527.24,599.47,701.78,282.33,40.68
2022Q1,可隆-华南,抓绒夹克,161,223,58,377,720542.46,754,442,1823.47,334.6,1187.74,1405.22,1605.98,1823.47,2040.96,2241.72,2526.13,1076.6,227.24
2022Q1,可隆-华南,防风夹克,128,356,68,431,1745626.08,1054,552,2511.52,466.56,1625.06,1928.32,2208.26,2511.52,2814.78,3094.72,3491.29,1733.61,462.89
2022Q1,可隆-华南,其他,73,35,26,102,46604.06,183,134,323.09,57.81,213.24,250.82,285.51,323.09,360.66,395.35,444.5,249.15,46.4
2022Q1,可隆-华南,棉服,165,167,51,425,1106696.6,600,383,2754.83,751.92,1326.19,1814.94,2266.09,2754.83,3243.58,3694.73,4333.86,1701.42,290.51
2022Q1,可隆-华南,连衣裙,62,50,15,108,177914.31,169,127,1553.59,218.62,1138.21,1280.31,1411.49,1553.59,1695.7,1826.87,2012.7,1126.09,138.12
2022Q1,可隆-华南,短裤,240,228,64,449,419520.73,829,532,805.02,120.02,576.98,654.99,727.01,805.02,883.04,955.05,1057.08,509.91,109.7
2022Q1,可隆-华西,防水夹克,376,494,44,807,4503998.81,1599,914,3505.06,876.05,1840.56,2410.0,2935.62,3505.06,4074.49,4600.12,5344.76,2811.29,586.34
2022Q1,可隆-华西,卫衣,285,291,119,533,792221.76,1059,695,1065.63,151.58,777.62,876.15,967.1,1065.63,1164.15,1255.1,1383.94,740.05,183.06
2022Q1,可隆-华西,长袖T恤,233,387,65,574,647969.42,1007,685,919.77,158.31,618.98,721.88,816.87,919.77,1022.67,1117.66,1252.23,682.34,103.67
2022Q1,可隆-华西,三合一夹克,60,212,13,247,1306177.51,444,285,4155.54,1167.43,1937.43,2696.26,3396.71,4155.54,4914.37,5614.83,6607.14,3395.64,717.12
2022Q1,可隆-华西,POLO,127,203,33,354,508117.37,539,363,1105.9,349.75,441.37,668.71,878.56,1105.9,1333.24,1543.1,1840.39,958.81,172.91
2022Q1,可隆-华西,短袖T恤,375,506,126,838,1252650.23,2201,1007,818.23,252.32,338.83,502.83,654.22,818.23,982.23,1133.62,1348.09,542.83,105.76
2022Q1,可隆-华西,长裤,295,374,101,668,1018881.01,1245,770,1401.63,257.69,912.03,1079.53,1234.14,1401.63,1569.13,1723.74,1942.78,791.98,107.57
2022Q1,可隆-华西,衬衫,152,205,36,310,358720.68,504,393,1059.71,156.98,761.46,863.49,957.68,1059.71,1161.75,1255.93,1389.36,713.41,140.57
2022Q1,可隆-华西,针织夹克,113,168,13,336,459579.38,455,294,1421.16,429.61,604.9,884.15,1141.92,1421.16,1700.41,1958.18,2323.35,1011.48,280.72
2022Q1,可隆-华西,羽绒服,112,250,30,329,1160144.74,705,392,3460.25,868.58,1809.95,2374.52,2895.67,3460.25,4024.82,4545.97,5284.26,1798.86,371.96
2022Q1,可隆-华西,鞋,191,254,54,385,1002983.16,706,499,2029.26,431.98,1208.51,1489.29,1748.48,2029.26,2310.05,2569.23,2936.41,1538.81,371.78
2022Q1,可隆-华西,马夹,171,134,32,234,585341.34,507,337,1681.63,289.76,1131.09,1319.43,1493.29,1681.63,1869.97,2043.83,2290.12,1220.18,227.16
2022Q1,可隆-华西,软壳夹克,259,399,125,597,2944094.28,1439,783,2723.88,460.41,1849.11,2148.37,2424.62,2723.88,3023.15,3299.39,3690.74,2258.3,610.65
2022Q1,可隆-华西,配件,170,281,58,360,236790.66,772,509,435.64,70.84,301.04,347.09,389.59,435.64,481.69,524.2,584.41,305.57,83.22
2022Q1,可隆-华西,抓绒夹克,220,153,57,349,794779.0,568,430,1686.55,514.45,709.09,1043.49,1352.16,1686.55,2020.95,2329.62,2766.91,1341.19,229.94
2022Q1,可隆-华西,防风夹克,267,219,74,509,982469.37,906,560,1766.99,396.47,1013.7,1271.4,1509.29,1766.99,2024.7,2262.58,2599.58,1326.36,191.61
2022Q1,可隆-华西,其他,46,100,15,120,61973.08,234,161,360.56,64.23,238.51,280.27,318.81,360.56,402.31,440.85,495.45,259.55,69.51
2022Q1,可隆-华西,棉服,84,114,27,235,725349.35,337,225,2706.29,453.08,1845.43,2139.93,2411.78,2706.29,3000.79,3272.64,3657.76,2148.65,475.21
2022Q1,可隆-华西,连衣裙,38,43,7,88,139721.87,156,88,1444.33,449.2,590.85,882.83,1152.35,1444.33,1736.32,2005.84,2387.66,876.21,153.19
2022Q1,可隆-华西,短裤,152,147,47,279,251706.68,439,346,844.43,164.2,532.46,639.19,737.7,844.43,951.16,1049.68,1189.24,587.55,159.58
2022Q1,可隆-安徽,防水夹克,465,382,111,799,4015198.66,1632,958,3234.9,829.66,1658.54,2197.82,2695.62,3234.9,3774.18,4271.98,4977.19,2362.97,412.99
2022Q1,可隆-安徽,卫衣,183,192,51,356,661178.41,717,426,1159.52,230.49,721.59,871.41,1009.7,1159.52,1309.33,1447.63,1643.54,905.0,137.24
2022Q1,可隆-安徽,长袖T恤,95,260,30,382,376962.48,601,385,877.82,229.51,441.75,590.93,728.64,877.82,1027.0,1164.7,1359.78,608.37,161.62
2022Q1,可隆-安徽,三合一夹克,135,168,11,286,1116768.88,350,314,4213.63,1330.26,1686.14,2550.81,3348.96,4213.63,5078.3,5876.45,7007.17,3032.25,557.78
2022Q1,可隆-安徽,POLO,160,183,38,331,502766.51,666,381,930.8,184.3,580.64,700.43,811.01,930.8,1050.6,1161.18,1317.83,730.17,151.24
2022Q1,可隆-安徽,短袖T恤,220,296,51,551,428799.0,818,567,797.11,218.49,381.99,524.0,655.1,797.11,939.13,1070.22,1255.94,512.98,124.32
2022Q1,可隆-安徽,长裤,351,219,40,450,1006350.61,964,610,1399.96,299.31,831.28,1025.82,1205.41,1399.96,1594.51,1774.09,2028.5,1021.22,158.31
2022Q1,可隆-安徽,衬衫,120,111,24,223,325011.31,341,255,1145.05,319.9,537.23,745.17,937.11,1145.05,1352.98,1544.93,1816.85,956.81,132.53
2022Q1,可隆-安徽,针织夹克,65,170,21,217,608050.49,464,256,1816.6,277.1,1290.12,1470.23,1636.49,1816.6,1996.71,2162.97,2398.5,1222.71,173.72
2022Q1,可隆-安徽,羽绒服,158,202,51,376,1232327.78,522,411,3099.87,742.09,1689.9,2172.26,2617.51,3099.87,3582.22,4027.47,4658.25,2393.9,479.07
2022Q1,可隆-安徽,鞋,204,265,49,392,1883090.05,967,518,2297.92,512.48,1324.22,1657.33,1964.81,2297.92,2631.03,2938.52,3374.12,1833.5,344.63
2022Q1,可隆-安徽,马夹,114,135,21,216,522754.63,345,270,1764.12,484.76,843.08,1158.17,1449.03,1764.12,2079.22,2370.07,2782.12,1454.14,360.95
2022Q1,可隆-安徽,软壳夹克,131,187,45,313,1153870.76,645,363,2515.46,376.07,1800.92,2045.37,2271.01,2515.46,2759.91,2985.56,3305.22,1881.98,225.99
2022Q1,可隆-安徽,配件,93,135,29,231,127637.67,489,257,416.28,119.96,188.36,266.33,338.31,416.28,494.25,566.22,668.19,291.6,60.14
2022Q1,可隆-安徽,抓绒夹克,121,98,28,186,469459.01,386,247,1705.7,381.47,980.91,1228.86,1457.74,1705.7,1953.65,2182.53,2506.77,1215.98,217.5
2022Q1,可隆-安徽,防风夹克,85,137,31,203,812361.77,416,253,2317.0,490.58,1384.9,1703.78,1998.12,2317.0,2635.88,2930.23,3347.22,1857.13,517.14
2022Q1,可隆-安徽,其他,36,54,16,91,27125.13,164,106,339.77,61.07,223.73,263.43,300.07,339.77,379.47,416.11,468.02,178.02,40.05
2022Q1,可隆-安徽,棉服,60,153,19,225,1077625.84,474,232,3370.25,836.77,1780.39,2324.29,2826.36,3370.25,3914.15,4416.22,5127.47,2315.57,458.0
2022Q1,可隆-安徽,连衣裙,18,35,7,65,97671.35,84,60,1520.06,298.93,952.1,1146.4,1325.76,1520.06,1714.37,1893.72,2147.81,1138.98,239.48
2022Q1,可隆-安徽,短裤,71,75,20,173,159748.52,247,166,846.96,190.22,485.54,609.19,723.32,846.96,970.61,1084.74,1246.43,651.35,127.78
2022Q1,可隆-山西,防水夹克,325,268,146,519,2246244.42,964,739,2933.16,519.92,1945.3,2283.25,2595.21,2933.16,3271.11,3583.06,4025.0,2460.31,461.65
2022Q1,可隆-山西,卫衣,161,231,41,410,616395.42,609,433,1105.01,276.13,580.37,759.85,925.53,1105.01,1284.5,1450.17,1684.88,997.31,152.45
2022Q1,可隆-山西,长袖T恤,122,245,11,395,214551.32,449,378,717.77,197.94,341.69,470.35,589.11,717.77,846.43,965.19,1133.44,448.15,112.56
2022Q1,可隆-山西,三合一夹克,149,159,28,275,1784965.76,570,336,3982.03,679.58,2690.83,3132.55,3540.3,3982.03,4423.75,4831.5,5409.14,3045.31,842.28
2022Q1,可隆-山西,POLO,106,132,36,264,363932.5,426,274,1030.32,304.88,451.05,649.22,832.15,1030.32,1228.49,1411.42,1670.57,792.79,169.89
2022Q1,可隆-山西,短袖T恤,246,364,118,628,442577.06,1068,728,636.35,140.75,368.92,460.41,544.86,636.35,727.84,812.3,931.94,449.44,94.77
2022Q1,可隆-山西,长裤,149,186,34,347,709505.31,629,369,1345.32,363.45,654.76,891.0,1109.07,1345.32,1581.56,1799.63,2108.57,1155.86,210.66
2022Q1,可隆-山西,衬衫,109,171,37,280,405819.94,438,317,1165.55,174.21,834.55,947.79,1052.31,1165.55,1278.78,1383.3,1531.38,899.82,244.11
2022Q1,可隆-山西,针织夹克,95,115,22,201,408690.23,332,232,1661.42,454.93,797.04,1092.75,1365.71,1661.42,1957.13,2230.09,2616.78,1244.56,319.04
2022Q1,可隆-山西,羽绒服,96,94,27,183,918664.97,279,217,3592.47,677.76,2304.73,2745.27,3151.93,3592.47,4033.02,4439.67,5015.77,3162.38,460.74
2022Q1,可隆-山西,鞋,78,246,48,293,567078.01,459,372,2069.04,616.71,897.29,1298.15,1668.18,2069.04,2469.9,2839.93,3364.13,1298.12,233.55
2022Q1,可隆-山西,马夹,38,38,13,80,114609.12,94,89,1729.61,372.16,1022.5,1264.41,1487.71,1729.61,1971.52,2194.82,2511.16,1415.92,196.73
2022Q1,可隆-山西,软壳夹克,190,314,80,475,1985124.75,1120,584,2552.51,674.43,1271.09,1709.47,2114.13,2552.51,2990.89,3395.55,3968.82,1914.6,279.8
2022Q1,可隆-山西,配件,104,155,16,233,121664.03,479,275,431.07,74.97,288.62,337.35,382.34,431.07,479.81,524.79,588.52,255.58,44.74
2022Q1,可隆-山西,抓绒夹克,87,82,25,161,579788.72,373,194,1771.69,450.3,916.13,1208.82,1479.0,1771.69,2064.38,2334.56,2717.31,1368.86,258.23
2022Q1,可隆-山西,防风夹克,159,186,38,381,1317586.55,771,383,2470.6,747.45,1050.44,1536.29,1984.76,2470.6,2956.44,3404.91,4040.24,1634.1,207.89
2022Q1,可隆-山西,其他,36,77,17,92,41277.95,214,130,289.84,61.3,173.37,213.21,250.0,289.84,329.69,366.47,418.58,196.93,37.65
2022Q1,可隆-山西,棉服,73,182,47,275,1123063.73,491,302,2605.86,696.84,1281.87,1734.81,2152.91,2605.86,3058.8,3476.9,4069.21,2153.19,544.33
2022Q1,可隆-山西,连衣裙,36,46,5,76,165424.76,141,87,1575.07,496.03,632.62,955.03,1252.65,1575.07,1897.49,2195.11,2616.73,1156.39,269.18
2022Q1,可隆-山西,短裤,24,35,8,74,61653.61,105,67,912.16,200.94,530.37,660.98,781.55,912.16,1042.77,1163.34,1334.14,577.46,155.29
2022Q1,可隆-西北,防水夹克,206,320,85,688,2876627.68,1175,611,3373.56,1065.69,1348.75,2041.45,2680.86,3373.56,4066.26,4705.68,5611.51,2379.71,375.56
2022Q1,可隆-西北,卫衣,128,189,35,329,563757.35,595,352,1227.64,216.48,816.33,957.04,1086.93,1227.64,1368.35,1498.23,1682.24,947.91,235.17
2022Q1,可隆-西北,长袖T恤,198,448,133,581,973975.31,1075,779,1080.57,224.86,653.33,799.49,934.41,1080.57,1226.73,1361.65,1552.78,864.07,210.25
2022Q1,可隆-西北,三合一夹克,110,110,47,227,1349791.69,365,267,4511.63,768.77,3050.97,3550.67,4011.93,4511.63,5011.33,5472.6,6126.05,3580.85,966.35
2022Q1,可隆-西北,POLO,98,202,17,268,207391.16,486,317,941.19,212.74,536.99,675.27,802.91,941.19,1079.47,1207.12,1387.94,455.11,85.33
2022Q1,可隆-西北,短袖T恤,142,292,94,467,646417.03,849,528,919.08,207.35,525.13,659.9,784.31,919.08,1053.86,1178.27,1354.51,773.24,100.25
2022Q1,可隆-西北,长裤,223,314,63,443,1182351.12,916,600,1629.4,422.43,826.78,1101.36,1354.82,1629.4,1903.98,2157.44,2516.5,1185.0,269.58
2022Q1,可隆-西北,衬衫,76,134,34,189,209776.29,380,244,972.65,266.64,466.03,639.35,799.33,972.65,1145.96,1305.94,1532.59,594.46,83.81
2022Q1,可隆-西北,针织夹克,110,172,9,259,450712.2,442,291,1723.53,302.62,1148.56,1345.26,1526.83,1723.53,1920.23,2101.8,2359.02,1040.03,173.28
2022Q1,可隆-西北,羽绒服,172,210,59,350,1474353.48,612,441,3884.49,735.01,2487.97,2965.72,3406.73,3884.49,4362.25,4803.26,5428.02,2370.16,401.35
2022Q1,可隆-西北,鞋,109,196,26,301,647827.02,440,331,2263.91,499.61,1314.66,1639.4,1939.17,2263.91,2588.66,2888.42,3313.09,1421.72,357.26
2022Q1,可隆-西北,马夹,81,64,22,149,334908.72,276,167,1539.67,291.16,986.47,1175.72,1350.42,1539.67,1728.92,1903.62,2151.1,1103.25,155.49
2022Q1,可隆-西北,软壳夹克,176,198,16,427,1226645.47,621,390,2432.72,720.31,1064.14,1532.34,1964.52,2432.72,2900.92,3333.1,3945.36,2006.9,561.56
2022Q1,可隆-西北,配件,39,57,12,99,56076.68,191,108,465.3,106.54,262.87,332.12,396.05,465.3,534.56,598.48,689.05,328.68,60.86
2022Q1,可隆-西北,抓绒夹克,139,142,22,212,417027.94,412,303,1814.63,539.17,790.21,1140.67,1464.17,1814.63,2165.09,2488.59,2946.89,1061.58,278.54
2022Q1,可隆-西北,防风夹克,209,253,61,390,1067368.84,786,523,2015.36,343.75,1362.24,1585.68,1791.92,2015.36,2238.8,2445.05,2737.23,1321.55,199.86
2022Q1,可隆-西北,其他,21,34,7,65,20064.34,88,62,280.33,52.6,180.38,214.57,246.14,280.33,314.52,346.08,390.79,219.14,58.32
2022Q1,可隆-西北,棉服,71,139,17,223,637102.66,323,227,2596.33,565.62,1521.66,1889.31,2228.68,2596.33,2963.99,3303.36,3784.13,1903.02,305.41
